,step1,step2,prediction,gold
0,2,0,yes,yes
1,1,3,no,no
2,2,4,no,no
3,3,5,yes,no
4,4,6,yes,no
5,5,7,no,no
6,6,8,yes,no
7,9,7,yes,yes
8,8,10,no,no
9,9,11,yes,no
10,10,12,yes,no
11,11,13,no,no
12,14,12,yes,yes
13,2,0,yes,yes
14,3,1,no,yes
15,2,4,yes,no
16,3,5,yes,no
17,4,6,yes,no
18,5,7,yes,no
19,6,8,yes,no
20,9,7,yes,yes
21,8,10,yes,no
22,9,11,yes,no
23,12,10,yes,yes
24,11,13,no,no
25,12,14,yes,no
26,0,2,no,no
27,3,1,yes,yes
28,2,4,yes,no
29,5,3,yes,yes
30,2,0,yes,yes
31,3,1,yes,yes
32,4,2,yes,yes
33,3,5,no,no
34,4,6,yes,no
35,7,5,yes,yes
36,6,8,yes,no
37,7,9,yes,no
38,8,10,yes,no
39,11,9,no,yes
40,0,2,no,no
41,3,1,yes,yes
42,4,2,yes,yes
43,3,5,no,no
44,4,6,yes,no
45,5,7,yes,no
46,8,6,no,yes
47,7,9,yes,no
48,8,10,no,no
49,9,11,yes,no
50,10,12,yes,no
51,11,13,yes,no
52,14,12,yes,yes
53,13,15,yes,no
54,14,16,no,no
55,17,15,yes,yes
56,18,16,yes,yes
57,17,19,no,no
58,20,18,yes,yes
59,21,19,yes,yes
60,20,22,yes,no
61,21,23,yes,no
62,24,22,yes,yes
63,23,25,yes,no
64,26,24,yes,yes
65,0,2,yes,no
66,3,1,yes,yes
67,2,4,no,no
68,5,3,no,yes
69,6,4,no,yes
70,7,5,yes,yes
71,8,6,yes,yes
72,9,7,yes,yes
73,10,8,no,yes
74,9,11,yes,no
75,12,10,yes,yes
76,11,13,yes,no
77,14,12,yes,yes
78,15,13,yes,yes
79,16,14,no,yes
80,17,15,yes,yes
81,16,18,no,no
82,17,19,yes,no
83,20,18,no,yes
84,21,19,yes,yes
85,20,22,no,no
86,21,23,yes,no
87,24,22,no,yes
88,25,23,yes,yes
89,26,24,no,yes
90,25,27,no,no
91,28,26,yes,yes
92,27,29,no,no
93,28,30,no,no
94,31,29,yes,yes
95,30,32,no,no
96,2,0,yes,yes
97,3,1,no,yes
98,2,4,yes,no
99,3,5,no,no
100,6,4,yes,yes
101,5,7,no,no
102,6,8,no,no
103,9,7,no,yes
104,8,10,yes,no
105,9,11,yes,no
106,10,12,no,no
107,13,11,yes,yes
108,14,12,yes,yes
109,15,13,no,yes
110,14,16,yes,no
111,17,15,yes,yes
112,0,2,yes,no
113,3,1,yes,yes
114,2,4,yes,no
115,3,5,yes,no
116,6,4,yes,yes
117,5,7,no,no
118,8,6,yes,yes
119,7,9,yes,no
120,10,8,no,yes
121,9,11,no,no
122,12,10,no,yes
123,11,13,no,no
124,12,14,no,no
125,15,13,yes,yes
126,14,16,no,no
127,17,15,yes,yes
128,0,2,no,no
129,3,1,yes,yes
130,4,2,no,yes
131,5,3,no,yes
132,4,6,no,no
133,5,7,no,no
134,6,8,no,no
135,7,9,yes,no
136,8,10,yes,no
137,9,11,yes,no
138,12,10,yes,yes
139,11,13,yes,no
140,12,14,yes,no
141,13,15,no,no
142,14,16,no,no
143,15,17,yes,no
144,16,18,no,no
145,17,19,yes,no
146,20,18,yes,yes
147,2,0,yes,yes
148,3,1,yes,yes
149,2,4,yes,no
150,5,3,yes,yes
151,6,4,yes,yes
152,7,5,yes,yes
153,8,6,no,yes
154,9,7,no,yes
155,8,10,yes,no
156,9,11,no,no
157,12,10,no,yes
158,13,11,no,yes
