,step1,step2,prediction,gold
0,1,0,yes,yes
1,1,2,no,no
2,2,3,no,no
3,3,4,yes,no
4,4,5,yes,no
5,5,6,yes,no
6,6,7,yes,no
7,8,7,yes,yes
8,8,9,yes,no
9,9,10,no,no
10,10,11,yes,no
11,11,12,no,no
12,13,12,yes,yes
13,14,13,yes,yes
14,1,0,yes,yes
15,1,2,yes,no
16,2,3,yes,no
17,3,4,yes,no
18,4,5,yes,no
19,5,6,yes,no
20,7,6,no,yes
21,7,8,yes,no
22,8,9,yes,no
23,10,9,yes,yes
24,10,11,yes,no
25,11,12,no,no
26,12,13,yes,no
27,14,13,yes,yes
28,0,1,yes,no
29,2,1,yes,yes
30,3,2,yes,yes
31,4,3,yes,yes
32,5,4,no,yes
33,0,1,yes,no
34,1,2,yes,no
35,3,2,yes,yes
36,3,4,yes,no
37,4,5,yes,no
38,5,6,yes,no
39,7,6,yes,yes
40,7,8,yes,no
41,9,8,yes,yes
42,10,9,no,yes
43,10,11,yes,no
44,0,1,yes,no
45,1,2,no,no
46,3,2,yes,yes
47,3,4,yes,no
48,4,5,yes,no
49,5,6,yes,no
50,6,7,yes,no
51,7,8,yes,no
52,9,8,yes,yes
53,9,10,yes,no
54,10,11,no,no
55,12,11,no,yes
56,13,12,yes,yes
57,13,14,yes,no
58,15,14,yes,yes
59,16,15,yes,yes
60,16,17,no,no
61,17,18,no,no
62,19,18,yes,yes
63,19,20,yes,no
64,21,20,yes,yes
65,21,22,yes,no
66,23,22,yes,yes
67,23,24,yes,no
68,25,24,yes,yes
69,26,25,yes,yes
70,1,0,yes,yes
71,2,1,yes,yes
72,3,2,yes,yes
73,4,3,no,yes
74,4,5,yes,no
75,6,5,yes,yes
76,6,7,no,no
77,8,7,yes,yes
78,9,8,yes,yes
79,10,9,no,yes
80,11,10,yes,yes
81,11,12,yes,no
82,12,13,yes,no
83,14,13,yes,yes
84,15,14,yes,yes
85,15,16,yes,no
86,16,17,yes,no
87,18,17,yes,yes
88,19,18,yes,yes
89,20,19,no,yes
90,20,21,no,no
91,22,21,yes,yes
92,22,23,yes,no
93,23,24,yes,no
94,25,24,no,yes
95,25,26,yes,no
96,27,26,yes,yes
97,28,27,no,yes
98,28,29,no,no
99,29,30,yes,no
100,31,30,yes,yes
101,31,32,yes,no
102,0,1,yes,no
103,2,1,yes,yes
104,2,3,yes,no
105,3,4,yes,no
106,4,5,yes,no
107,6,5,no,yes
108,7,6,no,yes
109,8,7,no,yes
110,8,9,yes,no
111,10,9,no,yes
112,10,11,no,no
113,12,11,no,yes
114,12,13,yes,no
115,13,14,no,no
116,15,14,no,yes
117,15,16,yes,no
118,17,16,yes,yes
119,0,1,yes,no
120,2,1,yes,yes
121,2,3,yes,no
122,4,3,yes,yes
123,4,5,yes,no
124,5,6,yes,no
125,7,6,yes,yes
126,7,8,no,no
127,9,8,no,yes
128,9,10,no,no
129,11,10,no,yes
130,12,11,no,yes
131,13,12,yes,yes
132,13,14,no,no
133,14,15,yes,no
134,15,16,no,no
135,16,17,yes,no
136,0,1,yes,no
137,1,2,yes,no
138,3,2,yes,yes
139,3,4,no,no
140,4,5,no,no
141,5,6,no,no
142,6,7,yes,no
143,7,8,no,no
144,8,9,yes,no
145,9,10,yes,no
146,11,10,yes,yes
147,12,11,yes,yes
148,13,12,yes,yes
149,13,14,yes,no
150,15,14,yes,yes
151,16,15,no,yes
152,17,16,yes,yes
153,18,17,yes,yes
154,19,18,yes,yes
155,19,20,yes,no
156,0,1,no,no
157,2,1,yes,yes
158,3,2,no,yes
159,4,3,yes,yes
160,5,4,yes,yes
161,6,5,yes,yes
162,6,7,no,no
163,8,7,yes,yes
164,9,8,no,yes
165,9,10,no,no
166,11,10,no,yes
167,12,11,yes,yes
168,12,13,no,no
169,14,13,no,yes
170,1,0,yes,yes
171,1,2,yes,no
172,3,2,yes,yes
173,3,4,no,no
174,5,4,yes,yes
175,6,5,yes,yes
176,6,7,yes,no
177,7,8,yes,no
178,9,8,yes,yes
179,10,9,no,yes
180,11,10,yes,yes
181,12,11,yes,yes
182,13,12,yes,yes
183,13,14,no,no
184,15,14,yes,yes
185,16,15,yes,yes
186,16,17,no,no
187,1,0,yes,yes
188,2,1,yes,yes
189,3,2,yes,yes
190,3,4,yes,no
191,4,5,no,no
192,6,5,yes,yes
193,7,6,no,yes
194,7,8,yes,no
195,9,8,yes,yes
196,9,10,yes,no
197,10,11,yes,no
198,12,11,no,yes
199,13,12,yes,yes
200,13,14,yes,no
201,14,15,yes,no
202,16,15,yes,yes
203,17,16,no,yes
204,1,0,yes,yes
205,2,1,yes,yes
206,3,2,yes,yes
207,4,3,yes,yes
208,4,5,yes,no
209,6,5,yes,yes
210,6,7,yes,no
211,7,8,yes,no
212,9,8,yes,yes
213,10,9,yes,yes
214,11,10,yes,yes
215,12,11,yes,yes
216,13,12,yes,yes
217,13,14,no,no
218,14,15,no,no
219,15,16,no,no
220,17,16,yes,yes
221,1,0,yes,yes
222,1,2,no,no
223,2,3,no,no
224,4,3,yes,yes
225,4,5,yes,no
226,5,6,yes,no
227,6,7,yes,no
228,7,8,no,no
229,9,8,yes,yes
230,10,9,no,yes
231,11,10,yes,yes
232,11,12,no,no
233,13,12,yes,yes
234,14,13,yes,yes
235,15,14,yes,yes
236,15,16,yes,no
237,17,16,no,yes
238,17,18,no,no
239,18,19,yes,no
240,20,19,yes,yes
241,20,21,yes,no
242,21,22,yes,no
243,23,22,no,yes
244,1,0,yes,yes
245,1,2,yes,no
246,2,3,yes,no
247,3,4,yes,no
248,4,5,yes,no
249,5,6,yes,no
250,7,6,yes,yes
251,8,7,yes,yes
252,8,9,yes,no
253,10,9,no,yes
254,10,11,no,no
255,12,11,yes,yes
256,12,13,no,no
257,14,13,yes,yes
258,15,14,yes,yes
259,15,16,yes,no
260,16,17,no,no
261,1,0,yes,yes
262,1,2,yes,no
263,2,3,yes,no
264,4,3,yes,yes
265,5,4,yes,yes
266,6,5,yes,yes
267,6,7,no,no
268,7,8,yes,no
269,9,8,yes,yes
270,9,10,yes,no
271,11,10,yes,yes
272,1,0,yes,yes
273,2,1,yes,yes
274,2,3,no,no
275,4,3,no,yes
276,4,5,no,no
277,5,6,yes,no
278,7,6,yes,yes
279,8,7,no,yes
280,9,8,yes,yes
281,9,10,no,no
282,10,11,yes,no
283,11,12,yes,no
284,12,13,yes,no
285,13,14,yes,no
286,14,15,yes,no
287,15,16,yes,no
288,17,16,yes,yes
289,0,1,yes,no
290,2,1,no,yes
291,3,2,no,yes
292,4,3,yes,yes
293,5,4,no,yes
294,6,5,yes,yes
295,7,6,yes,yes
296,8,7,yes,yes
297,8,9,yes,no
298,10,9,yes,yes
299,10,11,no,no
300,12,11,yes,yes
301,13,12,yes,yes
302,13,14,no,no
303,14,15,yes,no
304,15,16,yes,no
305,17,16,yes,yes
306,17,18,yes,no
307,19,18,yes,yes
308,20,19,yes,yes
309,21,20,yes,yes
310,22,21,yes,yes
311,22,23,no,no
312,24,23,no,yes
313,24,25,yes,no
314,25,26,no,no
315,1,0,no,yes
316,1,2,no,no
317,2,3,yes,no
318,4,3,yes,yes
319,5,4,yes,yes
320,5,6,yes,no
321,7,6,yes,yes
322,8,7,yes,yes
323,9,8,yes,yes
324,10,9,no,yes
325,11,10,yes,yes
326,12,11,yes,yes
327,13,12,yes,yes
328,13,14,yes,no
329,15,14,yes,yes
330,15,16,yes,no
331,16,17,yes,no
332,18,17,no,yes
333,19,18,yes,yes
334,19,20,yes,no
335,20,21,yes,no
336,22,21,yes,yes
337,22,23,no,no
338,0,1,yes,no
339,2,1,yes,yes
340,3,2,yes,yes
341,4,3,yes,yes
342,5,4,yes,yes
343,6,5,no,yes
344,6,7,no,no
345,8,7,yes,yes
346,9,8,yes,yes
347,10,9,no,yes
348,11,10,yes,yes
349,11,12,yes,no
350,13,12,no,yes
351,13,14,no,no
352,0,1,yes,no
353,1,2,yes,no
354,2,3,yes,no
355,4,3,yes,yes
356,4,5,yes,no
357,6,5,yes,yes
358,7,6,yes,yes
359,7,8,yes,no
360,9,8,yes,yes
361,9,10,yes,no
362,10,11,yes,no
363,12,11,yes,yes
364,12,13,yes,no
365,13,14,yes,no
366,14,15,no,no
367,16,15,yes,yes
368,17,16,yes,yes
369,18,17,yes,yes
370,19,18,no,yes
371,20,19,yes,yes
372,21,20,yes,yes
373,21,22,yes,no
374,23,22,yes,yes
375,24,23,yes,yes
376,24,25,yes,no
377,26,25,yes,yes
378,27,26,yes,yes
379,28,27,no,yes
380,28,29,no,no
381,29,30,yes,no
382,30,31,yes,no
383,32,31,yes,yes
384,1,0,yes,yes
385,2,1,no,yes
386,3,2,yes,yes
387,4,3,no,yes
388,5,4,yes,yes
389,6,5,yes,yes
390,7,6,yes,yes
391,8,7,yes,yes
392,9,8,no,yes
393,9,10,no,no
394,11,10,yes,yes
395,11,12,yes,no
396,12,13,yes,no
397,14,13,yes,yes
398,14,15,yes,no
399,15,16,yes,no
400,16,17,no,no
401,18,17,yes,yes
402,18,19,no,no
403,20,19,no,yes
404,21,20,yes,yes
405,21,22,yes,no
406,23,22,yes,yes
407,23,24,yes,no
408,24,25,no,no
409,25,26,yes,no
410,0,1,no,no
411,2,1,yes,yes
412,3,2,no,yes
413,4,3,yes,yes
414,4,5,yes,no
415,6,5,no,yes
416,7,6,yes,yes
417,8,7,no,yes
418,0,1,yes,no
419,2,1,yes,yes
420,2,3,yes,no
421,3,4,no,no
422,4,5,yes,no
423,5,6,yes,no
424,7,6,no,yes
