,step1,step2,prediction,gold
0,5,0,yes,no
1,1,6,yes,yes
2,2,7,yes,yes
3,3,8,yes,yes
4,4,9,yes,yes
5,5,10,yes,yes
6,6,11,yes,yes
7,12,7,yes,no
8,8,13,yes,yes
9,9,14,yes,yes
10,0,5,yes,yes
11,1,6,yes,yes
12,7,2,yes,no
13,8,3,no,no
14,9,4,yes,no
15,5,10,yes,yes
16,6,11,yes,yes
17,7,12,yes,yes
18,8,13,yes,yes
19,9,14,yes,yes
20,5,0,no,no
21,0,5,yes,yes
22,1,6,yes,yes
23,7,2,no,no
24,3,8,yes,yes
25,4,9,yes,yes
26,5,10,yes,yes
27,11,6,no,no
28,0,5,yes,yes
29,6,1,no,no
30,7,2,no,no
31,8,3,no,no
32,9,4,yes,no
33,5,10,yes,yes
34,6,11,yes,yes
35,12,7,yes,no
36,8,13,yes,yes
37,9,14,yes,yes
38,10,15,yes,yes
39,16,11,yes,no
40,12,17,yes,yes
41,18,13,yes,no
42,19,14,yes,no
43,15,20,yes,yes
44,16,21,yes,yes
45,17,22,yes,yes
46,23,18,yes,no
47,19,24,yes,yes
48,20,25,yes,yes
49,21,26,yes,yes
50,0,5,yes,yes
51,1,6,yes,yes
52,7,2,yes,no
53,3,8,yes,yes
54,4,9,yes,yes
55,10,5,yes,no
56,11,6,no,no
57,7,12,yes,yes
58,13,8,yes,no
59,14,9,yes,no
60,10,15,yes,yes
61,11,16,yes,yes
62,17,12,no,no
63,13,18,yes,yes
64,19,14,no,no
65,15,20,yes,yes
66,21,16,yes,no
67,17,22,yes,yes
68,23,18,yes,no
69,24,19,yes,no
70,25,20,yes,no
71,26,21,yes,no
72,27,22,no,no
73,28,23,no,no
74,24,29,yes,yes
75,30,25,yes,no
76,26,31,yes,yes
77,32,27,no,no
78,5,0,no,no
79,6,1,no,no
80,7,2,no,no
81,3,8,yes,yes
82,4,9,yes,yes
83,10,5,yes,no
84,11,6,yes,no
85,7,12,yes,yes
86,8,13,yes,yes
87,14,9,yes,no
88,15,10,yes,no
89,16,11,yes,no
90,12,17,yes,yes
91,5,0,yes,no
92,1,6,yes,yes
93,2,7,no,yes
94,8,3,no,no
95,4,9,yes,yes
96,10,5,yes,no
97,11,6,yes,no
98,7,12,yes,yes
99,8,13,yes,yes
100,14,9,yes,no
101,10,15,yes,yes
102,11,16,yes,yes
103,17,12,no,no
104,0,5,yes,yes
105,1,6,yes,yes
106,2,7,yes,yes
107,8,3,no,no
108,9,4,yes,no
109,10,5,no,no
110,6,11,yes,yes
111,12,7,yes,no
112,8,13,yes,yes
113,14,9,no,no
114,10,15,no,yes
115,11,16,no,yes
116,17,12,yes,no
117,13,18,yes,yes
118,19,14,yes,no
119,15,20,yes,yes
120,5,0,yes,no
121,1,6,yes,yes
122,7,2,yes,no
123,3,8,yes,yes
124,4,9,yes,yes
125,10,5,yes,no
126,6,11,no,yes
127,12,7,yes,no
128,8,13,yes,yes
129,14,9,yes,no
130,5,0,no,no
131,6,1,no,no
132,2,7,yes,yes
133,3,8,yes,yes
134,4,9,yes,yes
135,5,10,yes,yes
136,6,11,yes,yes
137,7,12,yes,yes
138,13,8,yes,no
139,9,14,yes,yes
140,10,15,yes,yes
141,11,16,yes,yes
142,12,17,yes,yes
143,0,5,yes,yes
144,1,6,yes,yes
145,2,7,yes,yes
146,8,3,yes,no
147,9,4,yes,no
148,10,5,yes,no
149,6,11,yes,yes
150,12,7,yes,no
151,13,8,yes,no
152,14,9,yes,no
153,15,10,yes,no
154,16,11,yes,no
155,12,17,yes,yes
156,0,5,yes,yes
157,6,1,yes,no
158,7,2,yes,no
159,8,3,yes,no
160,9,4,yes,no
161,10,5,yes,no
162,6,11,no,yes
163,12,7,yes,no
164,13,8,yes,no
165,9,14,yes,yes
166,15,10,no,no
167,16,11,yes,no
168,12,17,yes,yes
169,5,0,no,no
170,6,1,no,no
171,2,7,yes,yes
172,8,3,no,no
173,4,9,yes,yes
174,10,5,yes,no
175,11,6,yes,no
176,7,12,yes,yes
177,8,13,yes,yes
178,14,9,no,no
179,15,10,no,no
180,16,11,yes,no
181,17,12,yes,no
182,18,13,yes,no
183,14,19,yes,yes
184,20,15,yes,no
185,21,16,yes,no
186,17,22,yes,yes
187,23,18,yes,no
188,5,0,yes,no
189,6,1,yes,no
190,2,7,yes,yes
191,3,8,yes,yes
192,9,4,yes,no
193,10,5,yes,no
194,6,11,yes,yes
195,12,7,yes,no
196,8,13,yes,yes
197,9,14,yes,yes
198,15,10,no,no
199,16,11,no,no
200,12,17,yes,yes
201,0,5,yes,yes
202,6,1,yes,no
203,7,2,yes,no
204,8,3,yes,no
