,step1,step2,prediction,gold
0,5,0,yes,yes
1,1,6,no,no
2,2,7,no,no
3,3,8,no,no
4,4,9,no,no
5,5,10,no,no
6,6,11,no,no
7,12,7,no,yes
8,8,13,no,no
9,9,14,no,no
10,0,5,yes,no
11,1,6,no,no
12,7,2,no,yes
13,8,3,yes,yes
14,9,4,yes,yes
15,5,10,yes,no
16,6,11,yes,no
17,7,12,no,no
18,8,13,no,no
19,9,14,no,no
20,5,0,yes,yes
21,0,5,no,no
22,1,6,yes,no
23,7,2,yes,yes
24,3,8,yes,no
25,4,9,yes,no
26,5,10,yes,no
27,11,6,no,yes
28,0,5,no,no
29,6,1,yes,yes
30,7,2,no,yes
31,8,3,yes,yes
32,9,4,yes,yes
33,5,10,yes,no
34,6,11,yes,no
35,12,7,no,yes
36,8,13,no,no
37,9,14,yes,no
38,10,15,no,no
39,16,11,yes,yes
40,12,17,no,no
41,18,13,yes,yes
42,19,14,yes,yes
43,15,20,yes,no
44,16,21,no,no
45,17,22,yes,no
46,23,18,yes,yes
47,19,24,no,no
48,20,25,no,no
49,21,26,no,no
50,0,5,yes,no
51,1,6,yes,no
52,7,2,no,yes
53,3,8,yes,no
54,4,9,no,no
55,10,5,no,yes
56,11,6,yes,yes
57,7,12,yes,no
58,13,8,yes,yes
59,14,9,yes,yes
60,10,15,no,no
61,11,16,yes,no
62,17,12,yes,yes
63,13,18,yes,no
64,19,14,yes,yes
65,15,20,yes,no
66,21,16,yes,yes
67,17,22,no,no
68,23,18,no,yes
69,24,19,no,yes
70,25,20,yes,yes
71,26,21,no,yes
72,27,22,yes,yes
73,28,23,yes,yes
74,24,29,no,no
75,30,25,yes,yes
76,26,31,no,no
77,32,27,no,yes
78,5,0,yes,yes
79,6,1,no,yes
80,7,2,yes,yes
81,3,8,no,no
82,4,9,yes,no
83,10,5,yes,yes
84,11,6,yes,yes
85,7,12,yes,no
86,8,13,yes,no
87,14,9,yes,yes
88,15,10,yes,yes
89,16,11,yes,yes
90,12,17,no,no
91,5,0,yes,yes
92,1,6,no,no
93,2,7,yes,no
94,8,3,yes,yes
95,4,9,yes,no
96,10,5,no,yes
97,11,6,yes,yes
98,7,12,no,no
99,8,13,yes,no
100,14,9,yes,yes
101,10,15,no,no
102,11,16,no,no
103,17,12,yes,yes
104,0,5,yes,no
105,1,6,no,no
106,2,7,yes,no
107,8,3,yes,yes
108,9,4,yes,yes
109,10,5,yes,yes
110,6,11,yes,no
111,12,7,no,yes
112,8,13,yes,no
113,14,9,no,yes
114,10,15,yes,no
115,11,16,yes,no
116,17,12,yes,yes
117,13,18,no,no
118,19,14,yes,yes
119,15,20,yes,no
120,5,0,yes,yes
121,1,6,no,no
122,7,2,no,yes
123,3,8,no,no
124,4,9,yes,no
125,10,5,yes,yes
126,6,11,no,no
127,12,7,yes,yes
128,8,13,yes,no
129,14,9,no,yes
130,5,0,yes,yes
131,6,1,yes,yes
132,2,7,no,no
133,3,8,no,no
134,4,9,yes,no
135,5,10,no,no
136,6,11,yes,no
137,7,12,yes,no
138,13,8,yes,yes
139,9,14,no,no
140,10,15,yes,no
141,11,16,yes,no
142,12,17,no,no
143,0,5,no,no
144,1,6,yes,no
145,2,7,yes,no
146,8,3,yes,yes
147,9,4,yes,yes
148,10,5,yes,yes
149,6,11,yes,no
150,12,7,no,yes
151,13,8,no,yes
152,14,9,no,yes
153,15,10,no,yes
154,16,11,yes,yes
155,12,17,yes,no
156,0,5,yes,no
157,6,1,no,yes
158,7,2,yes,yes
159,8,3,no,yes
160,9,4,yes,yes
161,10,5,yes,yes
162,6,11,yes,no
163,12,7,yes,yes
164,13,8,no,yes
165,9,14,yes,no
166,15,10,yes,yes
167,16,11,no,yes
168,12,17,no,no
169,5,0,yes,yes
170,6,1,yes,yes
171,2,7,no,no
172,8,3,yes,yes
173,4,9,no,no
174,10,5,yes,yes
175,11,6,yes,yes
176,7,12,no,no
177,8,13,no,no
178,14,9,no,yes
179,15,10,yes,yes
180,16,11,yes,yes
181,17,12,yes,yes
182,18,13,yes,yes
183,14,19,yes,no
184,20,15,yes,yes
185,21,16,yes,yes
186,17,22,no,no
187,23,18,no,yes
188,5,0,yes,yes
189,6,1,yes,yes
190,2,7,no,no
191,3,8,yes,no
192,9,4,yes,yes
193,10,5,no,yes
194,6,11,yes,no
195,12,7,yes,yes
196,8,13,no,no
197,9,14,no,no
198,15,10,yes,yes
199,16,11,yes,yes
200,12,17,no,no
201,0,5,yes,no
202,6,1,yes,yes
203,7,2,yes,yes
204,8,3,yes,yes
205,9,4,yes,yes
206,10,5,no,yes
207,11,6,no,yes
208,0,5,no,no
209,6,1,yes,yes
210,2,7,no,no
211,3,8,yes,no
212,9,4,yes,yes
213,10,5,yes,yes
214,11,6,no,yes
215,12,7,yes,yes
216,13,8,yes,yes
217,9,14,no,no
218,10,15,yes,no
219,11,16,no,no
220,17,12,yes,yes
221,5,0,no,yes
222,1,6,yes,no
223,2,7,yes,no
224,8,3,yes,yes
225,4,9,yes,no
226,5,10,no,no
227,6,11,yes,no
228,7,12,yes,no
229,13,8,no,yes
230,14,9,yes,yes
231,15,10,yes,yes
232,11,16,no,no
233,17,12,no,yes
234,18,13,yes,yes
235,19,14,no,yes
236,15,20,yes,no
237,21,16,yes,yes
238,17,22,no,no
239,18,23,no,no
240,24,19,yes,yes
241,20,25,yes,no
242,21,26,yes,no
243,5,0,yes,yes
244,6,1,yes,yes
245,2,7,yes,no
246,3,8,no,no
247,4,9,yes,no
248,5,10,no,no
249,6,11,no,no
250,12,7,yes,yes
251,13,8,yes,yes
252,9,14,yes,no
253,15,10,yes,yes
254,11,16,yes,no
255,17,12,yes,yes
256,13,18,no,no
257,19,14,no,yes
258,20,15,yes,yes
259,16,21,yes,no
260,17,22,yes,no
261,23,18,no,yes
262,0,5,yes,no
263,1,6,yes,no
264,7,2,yes,yes
265,8,3,yes,yes
266,9,4,yes,yes
267,5,10,yes,no
268,6,11,no,no
269,12,7,yes,yes
270,8,13,no,no
271,14,9,yes,yes
272,5,0,no,yes
273,6,1,yes,yes
274,2,7,no,no
275,8,3,yes,yes
276,4,9,no,no
277,5,10,yes,no
278,11,6,yes,yes
279,12,7,yes,yes
280,13,8,yes,yes
281,9,14,yes,no
282,10,15,yes,no
283,11,16,no,no
284,12,17,yes,no
285,13,18,no,no
286,14,19,no,no
287,15,20,yes,no
288,21,16,no,yes
289,17,22,yes,no
290,23,18,yes,yes
291,24,19,yes,yes
292,25,20,yes,yes
293,26,21,yes,yes
294,27,22,yes,yes
295,28,23,no,yes
296,29,24,yes,yes
297,25,30,no,no
298,31,26,yes,yes
299,27,32,no,no
300,5,0,yes,yes
301,6,1,no,yes
302,2,7,no,no
303,3,8,no,no
304,4,9,yes,no
305,10,5,no,yes
306,6,11,yes,no
307,12,7,yes,yes
308,13,8,no,yes
309,14,9,yes,yes
310,15,10,yes,yes
311,11,16,yes,no
312,17,12,yes,yes
313,13,18,no,no
314,14,19,yes,no
315,20,15,yes,yes
316,16,21,no,no
317,17,22,yes,no
318,23,18,no,yes
319,24,19,no,yes
320,20,25,no,no
321,26,21,yes,yes
322,5,0,yes,yes
323,6,1,yes,yes
324,7,2,yes,yes
325,8,3,yes,yes
326,5,0,yes,yes
327,6,1,yes,yes
328,2,7,no,no
329,8,3,no,yes
330,4,9,no,no
331,5,10,no,no
332,11,6,yes,yes
333,12,7,yes,yes
334,8,13,no,no
335,9,14,no,no
336,15,10,no,yes
337,11,16,no,no
338,12,17,no,no
339,5,0,no,yes
340,6,1,yes,yes
341,7,2,no,yes
342,8,3,no,yes
343,9,4,yes,yes
344,5,10,yes,no
345,11,6,yes,yes
346,12,7,yes,yes
347,13,8,no,yes
348,14,9,yes,yes
349,10,15,yes,no
350,16,11,yes,yes
351,12,17,yes,no
352,13,18,no,no
353,14,19,yes,no
354,15,20,no,no
355,21,16,yes,yes
356,17,22,no,no
357,23,18,yes,yes
358,24,19,no,yes
359,20,25,no,no
360,26,21,yes,yes
361,22,27,no,no
362,23,28,no,no
363,29,24,yes,yes
364,25,30,yes,no
365,26,31,yes,no
366,27,32,no,no
367,33,28,no,yes
368,34,29,yes,yes
369,35,30,no,yes
370,36,31,yes,yes
371,37,32,yes,yes
372,38,33,yes,yes
373,0,5,yes,no
374,6,1,yes,yes
375,7,2,yes,yes
376,3,8,yes,no
377,9,4,yes,yes
378,10,5,yes,yes
379,11,6,yes,yes
