,step1,step2,prediction,gold
0,1,0,no,yes
1,1,2,no,no
2,2,3,no,no
3,3,4,no,no
4,4,5,no,no
5,5,6,no,no
6,6,7,no,no
7,8,7,no,yes
8,8,9,no,no
9,9,10,no,no
10,10,11,yes,no
11,11,12,no,no
12,13,12,no,yes
13,14,13,yes,yes
14,1,0,yes,yes
15,1,2,no,no
16,2,3,no,no
17,3,4,no,no
18,4,5,no,no
19,5,6,no,no
20,7,6,no,yes
21,7,8,no,no
22,8,9,no,no
23,10,9,yes,yes
24,10,11,no,no
25,11,12,no,no
26,12,13,no,no
27,14,13,no,yes
28,0,1,no,no
29,2,1,no,yes
30,3,2,no,yes
31,4,3,no,yes
32,5,4,no,yes
33,0,1,no,no
34,1,2,no,no
35,3,2,no,yes
36,3,4,no,no
37,4,5,no,no
38,5,6,no,no
39,7,6,no,yes
40,7,8,no,no
41,9,8,no,yes
42,10,9,no,yes
43,10,11,no,no
44,0,1,no,no
45,1,2,no,no
46,3,2,no,yes
47,3,4,no,no
48,4,5,no,no
49,5,6,no,no
50,6,7,no,no
51,7,8,no,no
52,9,8,no,yes
53,9,10,no,no
54,10,11,no,no
55,12,11,no,yes
56,13,12,no,yes
57,13,14,no,no
58,15,14,no,yes
59,16,15,no,yes
60,16,17,no,no
61,17,18,no,no
62,19,18,no,yes
63,19,20,no,no
64,21,20,no,yes
65,21,22,no,no
66,23,22,no,yes
67,23,24,no,no
68,25,24,no,yes
69,26,25,no,yes
70,1,0,no,yes
71,2,1,no,yes
72,3,2,yes,yes
73,4,3,no,yes
74,4,5,no,no
75,6,5,no,yes
76,6,7,no,no
77,8,7,no,yes
78,9,8,no,yes
79,10,9,no,yes
80,11,10,yes,yes
81,11,12,no,no
82,12,13,no,no
83,14,13,no,yes
84,15,14,no,yes
85,15,16,no,no
86,16,17,no,no
87,18,17,no,yes
88,19,18,yes,yes
89,20,19,no,yes
90,20,21,no,no
91,22,21,no,yes
92,22,23,no,no
93,23,24,no,no
94,25,24,no,yes
95,25,26,no,no
96,27,26,no,yes
97,28,27,no,yes
98,28,29,no,no
99,29,30,no,no
100,31,30,yes,yes
101,31,32,no,no
102,0,1,no,no
103,2,1,no,yes
104,2,3,no,no
105,3,4,no,no
106,4,5,no,no
107,6,5,no,yes
108,7,6,no,yes
109,8,7,no,yes
110,8,9,no,no
111,10,9,no,yes
112,10,11,no,no
113,12,11,no,yes
114,12,13,no,no
115,13,14,no,no
116,15,14,no,yes
117,15,16,no,no
118,17,16,no,yes
119,0,1,no,no
120,2,1,yes,yes
121,2,3,yes,no
122,4,3,no,yes
123,4,5,no,no
124,5,6,no,no
125,7,6,yes,yes
126,7,8,no,no
127,9,8,no,yes
128,9,10,no,no
129,11,10,yes,yes
130,12,11,no,yes
131,13,12,no,yes
132,13,14,no,no
133,14,15,no,no
134,15,16,no,no
135,16,17,no,no
136,0,1,no,no
137,1,2,no,no
138,3,2,no,yes
139,3,4,no,no
140,4,5,no,no
141,5,6,no,no
142,6,7,no,no
143,7,8,no,no
144,8,9,no,no
145,9,10,no,no
146,11,10,no,yes
147,12,11,no,yes
148,13,12,no,yes
149,13,14,no,no
150,15,14,no,yes
151,16,15,no,yes
152,17,16,yes,yes
153,18,17,no,yes
154,19,18,no,yes
155,19,20,no,no
156,0,1,no,no
157,2,1,no,yes
158,3,2,yes,yes
159,4,3,no,yes
160,5,4,no,yes
161,6,5,no,yes
162,6,7,no,no
163,8,7,no,yes
164,9,8,no,yes
165,9,10,no,no
166,11,10,no,yes
167,12,11,no,yes
168,12,13,no,no
169,14,13,no,yes
170,1,0,yes,yes
171,1,2,no,no
172,3,2,no,yes
173,3,4,no,no
174,5,4,no,yes
175,6,5,no,yes
176,6,7,no,no
177,7,8,no,no
178,9,8,no,yes
179,10,9,yes,yes
180,11,10,no,yes
181,12,11,no,yes
182,13,12,no,yes
183,13,14,no,no
184,15,14,no,yes
185,16,15,no,yes
186,16,17,no,no
187,1,0,yes,yes
188,2,1,no,yes
189,3,2,no,yes
190,3,4,no,no
191,4,5,no,no
192,6,5,no,yes
193,7,6,no,yes
194,7,8,no,no
195,9,8,no,yes
196,9,10,no,no
197,10,11,no,no
198,12,11,no,yes
199,13,12,no,yes
200,13,14,no,no
201,14,15,no,no
202,16,15,no,yes
203,17,16,no,yes
204,1,0,no,yes
205,2,1,no,yes
206,3,2,no,yes
207,4,3,no,yes
208,4,5,no,no
209,6,5,yes,yes
210,6,7,no,no
211,7,8,no,no
212,9,8,no,yes
213,10,9,no,yes
214,11,10,no,yes
215,12,11,no,yes
216,13,12,no,yes
217,13,14,yes,no
218,14,15,no,no
219,15,16,no,no
220,17,16,no,yes
221,1,0,no,yes
222,1,2,no,no
223,2,3,no,no
224,4,3,yes,yes
225,4,5,no,no
226,5,6,no,no
227,6,7,no,no
228,7,8,no,no
229,9,8,no,yes
230,10,9,no,yes
231,11,10,no,yes
232,11,12,no,no
233,13,12,no,yes
234,14,13,no,yes
235,15,14,no,yes
236,15,16,no,no
237,17,16,no,yes
238,17,18,no,no
239,18,19,no,no
240,20,19,no,yes
241,20,21,no,no
242,21,22,no,no
243,23,22,no,yes
244,1,0,no,yes
245,1,2,no,no
246,2,3,no,no
247,3,4,no,no
248,4,5,no,no
249,5,6,no,no
250,7,6,no,yes
251,8,7,no,yes
252,8,9,no,no
253,10,9,no,yes
254,10,11,no,no
255,12,11,yes,yes
256,12,13,no,no
257,14,13,no,yes
258,15,14,no,yes
259,15,16,no,no
260,16,17,no,no
261,1,0,no,yes
262,1,2,no,no
263,2,3,no,no
264,4,3,no,yes
265,5,4,no,yes
266,6,5,no,yes
267,6,7,no,no
268,7,8,no,no
269,9,8,yes,yes
270,9,10,no,no
271,11,10,no,yes
272,1,0,no,yes
273,2,1,no,yes
274,2,3,no,no
275,4,3,no,yes
276,4,5,no,no
277,5,6,no,no
278,7,6,no,yes
279,8,7,no,yes
280,9,8,no,yes
281,9,10,no,no
282,10,11,no,no
283,11,12,no,no
284,12,13,no,no
285,13,14,no,no
286,14,15,no,no
287,15,16,no,no
288,17,16,no,yes
289,0,1,no,no
290,2,1,no,yes
291,3,2,no,yes
292,4,3,no,yes
293,5,4,no,yes
294,6,5,yes,yes
295,7,6,no,yes
296,8,7,no,yes
297,8,9,yes,no
298,10,9,no,yes
299,10,11,no,no
300,12,11,no,yes
301,13,12,no,yes
302,13,14,no,no
303,14,15,no,no
304,15,16,no,no
305,17,16,no,yes
306,17,18,no,no
307,19,18,no,yes
308,20,19,no,yes
309,21,20,no,yes
310,22,21,no,yes
311,22,23,no,no
312,24,23,no,yes
313,24,25,no,no
314,25,26,no,no
315,1,0,yes,yes
