,step1,step2,prediction,gold
0,2,0,no,yes
1,1,3,no,no
2,2,4,no,no
3,3,5,no,no
4,4,6,no,no
5,5,7,no,no
6,6,8,no,no
7,9,7,no,yes
8,8,10,no,no
9,9,11,no,no
10,10,12,no,no
11,11,13,no,no
12,14,12,no,yes
13,2,0,no,yes
14,3,1,no,yes
15,2,4,no,no
16,3,5,no,no
17,4,6,no,no
18,5,7,yes,no
19,6,8,no,no
20,9,7,no,yes
21,8,10,no,no
22,9,11,no,no
23,12,10,no,yes
24,11,13,no,no
25,12,14,no,no
26,0,2,no,no
27,3,1,no,yes
28,2,4,no,no
29,5,3,no,yes
30,2,0,no,yes
31,3,1,no,yes
32,4,2,no,yes
33,3,5,no,no
34,4,6,no,no
35,7,5,no,yes
36,6,8,no,no
37,7,9,no,no
38,8,10,no,no
39,11,9,no,yes
40,0,2,no,no
41,3,1,no,yes
42,4,2,no,yes
43,3,5,no,no
44,4,6,no,no
45,5,7,no,no
46,8,6,no,yes
47,7,9,no,no
48,8,10,no,no
49,9,11,no,no
50,10,12,no,no
51,11,13,no,no
52,14,12,no,yes
53,13,15,no,no
54,14,16,no,no
55,17,15,no,yes
56,18,16,no,yes
57,17,19,no,no
58,20,18,no,yes
59,21,19,no,yes
60,20,22,no,no
61,21,23,no,no
62,24,22,no,yes
63,23,25,no,no
64,26,24,yes,yes
65,0,2,no,no
66,3,1,yes,yes
67,2,4,no,no
68,5,3,no,yes
69,6,4,no,yes
70,7,5,no,yes
71,8,6,no,yes
72,9,7,no,yes
73,10,8,no,yes
74,9,11,no,no
75,12,10,no,yes
76,11,13,no,no
77,14,12,no,yes
78,15,13,no,yes
79,16,14,no,yes
80,17,15,no,yes
81,16,18,no,no
82,17,19,no,no
83,20,18,no,yes
84,21,19,no,yes
85,20,22,no,no
86,21,23,no,no
87,24,22,no,yes
88,25,23,no,yes
89,26,24,no,yes
90,25,27,no,no
91,28,26,yes,yes
92,27,29,no,no
93,28,30,no,no
94,31,29,no,yes
95,30,32,no,no
96,2,0,no,yes
97,3,1,no,yes
98,2,4,no,no
99,3,5,no,no
100,6,4,no,yes
101,5,7,no,no
102,6,8,no,no
103,9,7,no,yes
104,8,10,no,no
105,9,11,no,no
106,10,12,no,no
107,13,11,no,yes
108,14,12,no,yes
109,15,13,no,yes
110,14,16,no,no
111,17,15,no,yes
112,0,2,no,no
113,3,1,no,yes
114,2,4,no,no
115,3,5,no,no
116,6,4,no,yes
117,5,7,no,no
118,8,6,no,yes
119,7,9,no,no
120,10,8,no,yes
121,9,11,no,no
122,12,10,no,yes
123,11,13,no,no
124,12,14,no,no
125,15,13,no,yes
126,14,16,no,no
127,17,15,no,yes
128,0,2,no,no
129,3,1,no,yes
130,4,2,no,yes
131,5,3,no,yes
132,4,6,no,no
133,5,7,no,no
134,6,8,no,no
135,7,9,no,no
136,8,10,no,no
137,9,11,no,no
138,12,10,no,yes
139,11,13,no,no
140,12,14,no,no
141,13,15,no,no
142,14,16,no,no
143,15,17,no,no
144,16,18,no,no
145,17,19,no,no
146,20,18,no,yes
147,2,0,no,yes
148,3,1,no,yes
149,2,4,no,no
150,5,3,no,yes
151,6,4,no,yes
152,7,5,no,yes
153,8,6,no,yes
154,9,7,no,yes
155,8,10,no,no
156,9,11,no,no
157,12,10,no,yes
158,13,11,yes,yes
159,14,12,yes,yes
160,2,0,no,yes
161,3,1,no,yes
162,2,4,no,no
163,5,3,no,yes
164,6,4,no,yes
165,5,7,no,no
166,8,6,no,yes
167,9,7,no,yes
168,8,10,no,no
169,11,9,no,yes
170,12,10,no,yes
171,11,13,no,no
172,14,12,no,yes
173,13,15,no,no
174,16,14,no,yes
175,17,15,yes,yes
176,0,2,no,no
177,1,3,no,no
178,4,2,no,yes
179,5,3,no,yes
180,6,4,no,yes
181,7,5,no,yes
182,8,6,no,yes
183,7,9,no,no
184,10,8,no,yes
185,11,9,no,yes
186,10,12,no,no
187,13,11,no,yes
188,14,12,no,yes
189,15,13,no,yes
190,14,16,no,no
191,15,17,no,no
192,2,0,no,yes
193,3,1,no,yes
194,2,4,no,no
195,5,3,no,yes
196,4,6,no,no
197,5,7,no,no
198,8,6,no,yes
199,9,7,no,yes
200,8,10,no,no
201,9,11,no,no
202,12,10,no,yes
203,13,11,no,yes
204,14,12,no,yes
205,15,13,no,yes
206,16,14,no,yes
207,17,15,yes,yes
208,0,2,no,no
209,3,1,yes,yes
210,2,4,no,no
211,3,5,no,no
212,6,4,no,yes
213,7,5,no,yes
214,8,6,no,yes
215,9,7,no,yes
216,10,8,no,yes
217,9,11,no,no
218,10,12,no,no
219,11,13,no,no
220,14,12,no,yes
